P1	42 2 5 1 
P1	46 3 4 6 7 
P2	1 4 7 3 
P2	5 1 2 5 6 
P3	79 1 4 7 
P3	81 2 3 5 6 
P4	65 1 4 7 
P4	70 2 3 5 6 
P5	82 7 3 6 
P5	83 1 2 4 5 
P6	92 7 3 6 
P6	94 1 2 4 5 
P7	28 5 1 4 
P7	29 2 3 6 7 
P8	5 4 7 3 
P8	8 1 2 5 6 
P9	93 7 3 6 
P9	94 1 2 4 5 
P10	17 7 3 6 
P10	22 1 2 4 5 
P11	48 6 2 5 
P11	49 1 3 4 7 
P12	39 1 4 7 
P12	41 2 3 5 6 
P13	68 1 4 7 
P13	73 2 3 5 6 
P14	95 4 7 3 
P14	96 1 2 5 6 
P15	23 3 6 2 
P15	26 1 4 5 7 
P16	65 1 4 7 
P16	66 2 3 5 6 
P17	54 2 5 1 
P17	61 3 4 6 7 
P18	45 1 4 7 
P18	52 2 3 5 6 
P19	38 1 4 7 
P19	41 2 3 5 6 
P20	42 6 2 5 
P20	50 1 3 4 7 
P21	17 5 1 4 
P21	17 2 3 6 7 
P22	43 2 5 1 
P22	49 3 4 6 7 
P23	41 4 7 3 
P23	45 1 2 5 6 
P24	49 7 3 6 
P24	54 1 2 4 5 
P25	91 3 6 2 
P25	91 1 4 5 7 
P26	51 6 2 5 
P26	52 1 3 4 7 
P27	94 7 3 6 
P27	103 1 2 4 5 
P28	24 5 1 4 
P28	28 2 3 6 7 
P29	57 4 7 3 
P29	63 1 2 5 6 
P30	77 2 5 1 
P30	85 3 4 6 7 
P31	45 2 5 1 
P31	51 3 4 6 7 
P32	24 1 4 7 
P32	32 2 3 5 6 
P33	19 4 7 3 
P33	28 1 2 5 6 
P34	42 4 7 3 
P34	47 1 2 5 6 
P35	40 7 3 6 
P35	44 1 2 4 5 
P36	31 6 2 5 
P36	37 1 3 4 7 
P37	74 1 4 7 
P37	75 2 3 5 6 
P38	46 3 6 2 
P38	48 1 4 5 7 
P39	71 6 2 5 
P39	78 1 3 4 7 
P40	74 2 5 1 
P40	76 3 4 6 7 
P41	87 5 1 4 
P41	88 2 3 6 7 
P42	37 5 1 4 
P42	44 2 3 6 7 
P43	56 7 3 6 
P43	57 1 2 4 5 
P44	53 2 5 1 
P44	53 3 4 6 7 
P45	42 4 7 3 
P45	48 1 2 5 6 
P46	31 7 3 6 
P46	32 1 2 4 5 
P47	8 5 1 4 
P47	15 2 3 6 7 
P48	88 6 2 5 
P48	91 1 3 4 7 
P49	46 6 2 5 
P49	55 1 3 4 7 
P50	59 2 5 1 
P50	67 3 4 6 7 
P51	23 6 2 5 
P51	29 1 3 4 7 
P52	31 6 2 5 
P52	39 1 3 4 7 
P53	1 7 3 6 
P53	3 1 2 4 5 
P54	56 2 5 1 
P54	65 3 4 6 7 
P55	25 7 3 6 
P55	33 1 2 4 5 
P56	84 2 5 1 
P56	85 3 4 6 7 
P57	3 5 1 4 
P57	4 2 3 6 7 
P58	37 2 5 1 
P58	37 3 4 6 7 
P59	97 5 1 4 
P59	105 2 3 6 7 
P60	100 6 2 5 
P60	104 1 3 4 7 
P61	82 3 6 2 
P61	85 1 4 5 7 
P62	100 1 4 7 
P62	108 2 3 5 6 
P63	1 2 5 1 
P63	8 3 4 6 7 
P64	68 5 1 4 
P64	71 2 3 6 7 
P65	49 7 3 6 
P65	56 1 2 4 5 
P66	22 3 6 2 
P66	29 1 4 5 7 
P67	14 2 5 1 
P67	23 3 4 6 7 
P68	17 1 4 7 
P68	18 2 3 5 6 
P69	1 7 3 6 
P69	10 1 2 4 5 
P70	57 7 3 6 
P70	60 1 2 4 5 
P71	25 5 1 4 
P71	29 2 3 6 7 
P72	10 3 6 2 
P72	12 1 4 5 7 
P73	96 4 7 3 
P73	99 1 2 5 6 
P74	44 4 7 3 
P74	51 1 2 5 6 
P75	15 5 1 4 
P75	23 2 3 6 7 
P76	1 5 1 4 
P76	9 2 3 6 7 
P77	81 1 4 7 
P77	89 2 3 5 6 
P78	82 4 7 3 
P78	90 1 2 5 6 
P79	10 5 1 4 
P79	12 2 3 6 7 
P80	23 3 6 2 
P80	25 1 4 5 7 
P81	39 2 5 1 
