G0	1000
G1	1500
G2	2000
G3	2500
G4	3000
G5	3500
G6	4000
G7	4500
G8	5000
G9	5500
G10	6000
G11	6500
G12	7000
G13	7500
G14	8000
G15	8500
G16	9000
G17	9500
G18	10000
G19	10500
G20	11000
G21	11500
G22	12000
G23	12500
G24	13000
G25	13500
G26	14000
G27	14500
G28	15000
G29	15500
G30	16000
G31	16500
G32	17000
G33	17500
G34	18000
G35	18500
G36	19000
G37	19500
G38	20000
G39	20500
G40	21000
G41	21500
G42	22000
G43	22500
G44	23000
G45	23500
G46	24000
G47	24500
G48	25000
G49	25500
G50	26000
G51	26500
G52	27000
G53	27500
G54	28000
G55	28500
G56	29000
G57	29500
G58	30000
G59	30500
G60	31000
G61	31500
G62	32000
G63	32500
G64	33000
G65	33500
G66	34000
G67	34500
G68	35000
G69	35500
G70	36000
G71	36500
G72	37000
G73	37500
G74	38000
G75	38500
G76	39000
G77	39500
G78	40000
G79	40500
G80	41000
G81	41500
G82	42000
G83	42500
G84	43000
G85	43500
G86	44000
G87	44500
G88	45000
G89	45500
G90	46000
G91	46500
G92	47000
G93	47500
G94	48000
G95	48500
G96	49000
G97	49500
G98	50000
G99	50500
