P1	41 2 4 6 
P1	75 0 1 3 5 
P2	0 4 6 1 
P2	24 0 2 3 5 
P3	478 1 3 5 
P3	540 0 2 4 6 
P4	464 1 3 5 
P4	509 0 2 4 6 
P5	281 7 2 4 
P5	342 0 1 3 5 6 
P6	491 7 2 4 
P6	533 0 1 3 5 6 
P7	327 5 0 2 
P7	418 1 3 4 6 
P8	104 4 6 1 
P8	157 0 2 3 5 
P9	292 7 2 4 
P9	313 0 1 3 5 6 
P10	216 7 2 4 
P10	311 0 1 3 5 6 
P11	447 6 1 3 
P11	518 0 2 4 5 
P12	38 1 3 5 
P12	50 0 2 4 6 
P13	167 1 3 5 
P13	202 0 2 4 6 
P14	394 4 6 1 
P14	405 0 2 3 5 
P15	322 3 5 0 
P15	395 1 2 4 6 
P16	164 1 3 5 
P16	175 0 2 4 6 
P17	253 2 4 6 
P17	300 0 1 3 5 
P18	144 1 3 5 
P18	201 0 2 4 6 
P19	37 1 3 5 
P19	60 0 2 4 6 
P20	241 6 1 3 
P20	319 0 2 4 5 
P21	316 5 0 2 
P21	406 1 3 4 6 
P22	342 2 4 6 
P22	348 0 1 3 5 
P23	40 4 6 1 
P23	104 0 2 3 5 
P24	148 7 2 4 
P24	153 0 1 3 5 6 
P25	390 3 5 0 
P25	460 1 2 4 6 
P26	350 6 1 3 
P26	351 0 2 4 5 
P27	393 7 2 4 
P27	422 0 1 3 5 6 
P28	123 5 0 2 
P28	177 1 3 4 6 
P29	256 4 6 1 
P29	322 0 2 3 5 
P30	376 2 4 6 
P30	384 0 1 3 5 
P31	444 2 4 6 
P31	470 0 1 3 5 
P32	323 1 3 5 
P32	361 0 2 4 6 
P33	118 4 6 1 
P33	147 0 2 3 5 
P34	41 4 6 1 
P34	56 0 2 3 5 
P35	139 7 2 4 
P35	143 0 1 3 5 6 
P36	430 6 1 3 
P36	436 0 2 4 5 
P37	173 1 3 5 
P37	194 0 2 4 6 
P38	245 3 5 0 
P38	317 1 2 4 6 
